code_good_service,name_good_service,short_name_good_service,date_month,cpi_index,pct_change
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2024-11-01,153.0140562088096,-6.955430447056585
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2024-12-01,148.15403443064312,-3.176193023426734
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2025-01-01,132.6725343179973,-10.449597388381164
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2025-02-01,117.61242446463542,-11.351339544976895
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2025-03-01,122.39001202935523,4.062145293294563
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2025-04-01,167.00532434201773,36.45339319189014
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2025-05-01,165.67560467731334,-0.7962139350606492
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2025-06-01,165.67560467731334,0.0
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2025-07-01,162.18496276174122,-2.1069136414928806
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2025-08-01,155.15354279299228,-4.33543273618929
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2025-09-01,186.64869844325963,20.299346752454483
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2025-10-01,148.74012242900275,-20.31012074042451
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2025-11-01,119.19604863355114,-19.862881186986854
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2025-12-01,112.41053978742579,-5.692729686859238
05,"Furnishings, Household Equipment and Routine Houshold Maintenance",Houshold equipement and maintenance,2026-01-01,111.6928311159764,-0.6384709768377661
06,Health,Health,2022-12-01,88.01551787735177,
06,Health,Health,2023-01-01,88.12661746551316,0.12622727314541748
06,Health,Health,2023-02-01,88.84443627201223,0.8145312133192704
06,Health,Health,2023-03-01,87.66175464676634,-1.3311825420613985
06,Health,Health,2023-04-01,87.81205775143144,0.17145801526645243
